2020-07-01
2020-07-30
Aloyzas;Valančiūnas;33;182;Attacker;L. Rytas;True;False
Petras;Pavardėnis;28;197;Attacker;Kruojos;False;False
Antanas;Žukauskas;31;198;Attacker;Šaulys;True;True
Vardėnis;Valančiūnas;34;190;Striker;Žalgiris;False;False
Antanas;Jasikevičius;21;195;Attacker;L. Rytas;False;False
Vardėnis;Žukauskas;29;190;Sniper;Žalgiris;True;False
Aloyzas;Valančiūnas;29;195;Attacker;Žalgiris;True;False
Motiejus;Sabonis;33;204;Sniper;Šaulys;False;False
Petras;Valančiūnas;25;187;Attacker;Šaulys;False;False
Antanas;Žukauskas;27;193;Sniper;Šaulys;False;False
Antanas;Sabonis;23;193;Sniper;L. Rytas;False;False
Motiejus;Žukauskas;25;196;Sniper;Žalgiris;False;False
Aloyzas;Pavardėnis;30;201;Sniper;Šaulys;False;False
Motiejus;Sabonis;20;183;Striker;Žalgiris;True;False
Juozas;Jasikevičius;21;208;Sniper;L. Rytas;False;False
Aloyzas;Sabonis;22;189;Attacker;L. Rytas;True;False
Aloyzas;Sabonis;23;196;Striker;Kruojos;True;False
Antanas;Pavardėnis;32;197;Striker;Šaulys;False;False
Motiejus;Valančiūnas;23;180;Sniper;Šaulys;False;False
Antanas;Jasikevičius;22;209;Defender;Šaulys;True;False
Motiejus;Pavardėnis;21;200;Defender;Šaulys;True;False
Antanas;Žukauskas;18;198;Defender;Šaulys;True;False
Petras;Jasikevičius;33;178;Sniper;Žalgiris;True;False
Juozas;Jasikevičius;22;175;Defender;L. Rytas;False;False
Aloyzas;Sabonis;33;197;Attacker;Šaulys;False;False
Motiejus;Valančiūnas;23;198;Defender;L. Rytas;False;False
Vardėnis;Sabonis;33;193;Sniper;Žalgiris;False;False
Vardėnis;Valančiūnas;18;191;Striker;Žalgiris;True;False
Aloyzas;Valančiūnas;34;181;Striker;Šaulys;False;False
Juozas;Pavardėnis;29;205;Striker;Kruojos;False;False
Petras;Pavardėnis;25;197;Striker;L. Rytas;False;False
Motiejus;Žukauskas;25;208;Sniper;Kruojos;False;False
Motiejus;Valančiūnas;20;197;Attacker;Žalgiris;False;False
Antanas;Pavardėnis;33;206;Defender;Žalgiris;False;False
Motiejus;Žukauskas;24;197;Striker;Šaulys;True;False
Vardėnis;Sabonis;31;205;Sniper;Žalgiris;True;False
Juozas;Žukauskas;24;206;Striker;Šaulys;False;False
Vardėnis;Pavardėnis;26;180;Striker;Šaulys;True;False
Petras;Pavardėnis;33;189;Striker;Šaulys;False;False
Motiejus;Žukauskas;27;192;Striker;Kruojos;False;False
Motiejus;Sabonis;26;204;Striker;Kruojos;False;False
Aloyzas;Pavardėnis;21;186;Sniper;L. Rytas;True;False
Aloyzas;Valančiūnas;26;202;Sniper;L. Rytas;True;False
Antanas;Žukauskas;34;177;Attacker;Šaulys;True;False
Antanas;Sabonis;24;187;Defender;Šaulys;False;False
